Assemblage_Name	0-0-5027680	3-1193437-0	1-0-4	3-3-0	3-3-2	1-4-410103	1-0-9900096	7412412-0-0	1781437-3-0	4-2567890-0	1-0-2571527	4-0-788356	1-0-2861031	1-3503475-4	4-0-0	7432143-3-0	3-3-9264893	0-0-1	1-6775434-4	3-7698103-0	4-9320158-0	1-9145809-4	3-8488337-0	953587-3-0	1062089-0-0	1023189-0-0	4-0-4966820	1-4-4	1-1758834-4	3-3-2357802	3-4-3	1-0-6613978	4078030-0-4	6089465-3-0
assemblage-242-242	0	0	17	437	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-160-161	16	0	227	63	22	0	0	0	0	0	0	0	0	0	54	0	0	46	0	0	31	0	0	0	0	0	0	23	0	0	15	0	0	3
assemblage-235-847	0	0	128	86	15	0	0	0	0	0	0	0	0	0	40	0	0	19	0	0	42	0	0	0	0	0	0	17	0	0	151	0	0	2
assemblage-562-744	0	0	192	45	13	0	0	0	0	0	0	0	0	0	43	0	0	30	0	0	78	0	0	6	0	0	0	13	0	0	75	0	0	5
assemblage-930-240	0	0	135	131	28	9	0	0	0	0	0	0	0	0	75	0	0	0	0	0	83	0	0	5	0	0	0	0	0	0	24	0	0	10
assemblage-904-260	0	0	202	197	0	0	0	10	0	0	0	0	0	0	47	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	6	0	0	5
assemblage-1000-339	0	0	99	268	0	0	0	0	0	5	0	0	0	15	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-298-582	0	0	36	388	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	0	0	3
assemblage-688-487	0	0	190	234	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	8	0	0	1
assemblage-363-786	0	0	67	178	0	0	0	0	0	0	4	0	0	0	194	0	0	0	0	30	0	0	0	0	0	0	0	0	18	0	0	0	0	9
