Assemblage_Name	2-1-480275	5773557-2-3	1-0-0	0-3-415814	1643217-1-0	2-1-5837927	1-3-9941389	0-3-3188427	1805105-561802-4	0-9542247-6447573	1-3-4326321	1-1770338-9941389	0-8401169-6733690	1-3-3412849	1805105-3-4	4-2-6083459	0-3-6733690	5055523-1-0	1-3-89308	4-2-4285661	1-3-4	4-7546888-3	2030087-1-0	0-918101-2	0-9262744-2	4-2-3	0-3-2	4-2574952-3	2788887-2-3	1-4932987-4	2-1-9444862	2-1-0	4-2-1443958	1435303-3-4	4-2-8858528	1-2547075-4	8143335-3-89308
assemblage-513-431	6	0	3	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	114	57	5	0	0	0	130	0	0	0	0	11
assemblage-459-519	8	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	130	59	11	0	0	0	129	0	0	0	0	21
assemblage-566-327	7	0	13	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	125	45	8	0	0	0	132	0	0	0	0	8
assemblage-363-547	5	0	0	0	0	0	0	7	0	29	0	0	0	0	0	0	0	0	0	0	134	0	0	6	0	77	38	7	0	0	0	182	0	0	0	1	14
assemblage-478-474	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	148	0	0	12	0	70	40	12	0	0	0	179	0	0	0	9	18
assemblage-396-594	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	125	0	0	7	0	75	36	8	0	0	0	191	0	0	0	7	30
assemblage-551-626	0	0	0	0	0	0	0	7	0	20	0	0	0	0	5	0	0	0	0	0	111	0	0	16	0	53	57	6	0	0	0	189	0	0	0	17	19
assemblage-446-389	0	0	0	0	0	0	0	7	0	9	0	0	0	0	8	0	0	0	0	0	169	0	0	14	0	53	73	7	0	0	0	143	0	0	0	7	10
assemblage-300-435	0	0	0	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	150	0	0	12	0	46	52	7	0	0	0	182	0	0	0	18	13
assemblage-388-522	0	0	0	0	0	0	0	0	0	13	0	0	0	0	6	0	0	0	0	0	119	11	0	0	4	60	62	0	0	0	0	195	0	0	0	14	16
assemblage-452-335	0	0	0	0	0	0	0	0	0	28	0	0	0	0	9	0	0	0	0	0	117	7	0	0	14	69	59	0	0	0	0	177	0	0	0	12	8
assemblage-497-574	0	0	0	0	0	0	0	0	0	19	0	0	0	0	19	0	0	0	0	0	87	15	0	0	0	80	59	0	0	0	0	197	0	0	0	12	12
assemblage-493-366	0	0	0	0	0	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	180	0	0	0	20	46	51	0	0	0	0	169	0	0	0	0	10
assemblage-586-500	0	0	0	0	0	0	0	0	0	15	0	0	0	0	12	0	0	0	0	0	164	12	0	0	21	45	67	0	0	0	0	157	0	0	0	0	7
assemblage-255-510	0	0	0	0	0	0	0	0	0	10	0	0	0	0	11	0	0	0	0	0	159	8	0	0	17	80	69	0	0	0	0	135	0	0	0	0	11
assemblage-489-537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	35	88	70	0	0	0	0	144	0	0	0	0	20
assemblage-545-414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	28	83	62	0	0	0	0	156	0	0	0	0	24
assemblage-702-358	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	26	85	73	0	0	0	0	153	0	0	0	0	14
assemblage-613-581	0	0	0	0	0	0	29	0	0	0	0	0	0	19	0	0	0	0	0	0	113	0	0	0	8	125	90	0	0	0	0	99	0	0	9	0	8
assemblage-389-481	0	0	0	0	0	0	26	0	0	0	0	0	0	15	8	0	0	0	0	0	110	0	0	0	6	137	100	0	0	0	0	79	0	0	14	0	5
assemblage-577-441	0	0	0	0	0	0	26	0	0	0	0	0	0	12	0	0	0	0	0	0	138	0	0	0	13	109	87	0	0	0	0	64	8	0	21	0	22
assemblage-553-606	0	0	0	0	0	0	54	0	0	0	0	0	0	0	5	0	8	0	0	0	79	0	0	0	0	164	142	0	0	0	0	27	0	0	0	0	21
assemblage-404-560	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	8	0	0	0	71	0	0	0	0	155	170	0	0	0	0	30	0	0	0	0	20
assemblage-634-715	0	0	0	0	0	0	50	0	0	0	0	0	0	0	11	0	6	0	0	0	76	0	0	0	0	150	152	0	0	0	0	28	0	0	4	0	23
assemblage-445-389	0	0	0	0	0	0	77	0	0	0	0	0	0	0	16	0	17	0	0	16	55	0	0	0	0	138	138	0	0	0	0	28	0	7	0	0	8
assemblage-579-563	0	0	0	0	0	0	117	0	0	0	0	0	0	0	19	0	10	0	0	12	51	0	0	0	0	125	125	0	0	0	0	19	0	0	0	0	22
assemblage-598-466	0	0	0	0	0	0	101	0	0	0	0	0	0	0	36	0	13	0	0	4	60	0	0	0	0	135	116	0	0	0	0	15	0	10	0	0	10
assemblage-531-470	0	0	0	0	0	0	142	0	0	0	0	0	0	0	42	0	0	0	0	19	57	0	0	0	0	116	99	0	0	0	0	3	0	9	0	0	13
assemblage-462-580	0	0	0	0	0	0	145	0	0	0	0	0	0	0	32	0	0	0	0	29	47	0	0	0	0	128	93	0	0	0	0	5	0	8	0	0	13
assemblage-311-422	0	0	0	0	0	0	126	0	0	0	0	0	0	0	26	0	0	0	0	13	60	0	0	0	0	127	120	0	0	0	0	7	0	9	0	0	12
