Assemblage_Name	9536984-4622135-4	0-2-3777020	1177676-2007174-9815531	5730292-4-9815531	3184588-2-1068579	0-2-2459802	4743515-1-4	9758399-9225423-4	7750624-4622135-933142	0-2-8459644	0-2-6094135	2669499-2-3777020	0-1-1	3171621-4-9815531	9456829-4-9815531	9065096-2-4	9758399-2-4	575979-2-4	0-2002858-1068579	0-4622135-2423516	1177676-5080660-9815531	440597-2-4	8444855-2-1068579	0-3914462-4	1177676-4-6766949	0-8380750-4	4-0-3	1177676-4-4790094	0-5602629-4	1657468-2-3777020	0-2-6708137	0-2-4	0-2-1218207	9361231-5450806-4	3075070-2-1068579	9758399-3510196-4	0-9510112-4	0-4124913-1068579	0-2-1068579	7750624-4622135-4	7256233-3914462-4	0-2-8857300	0-2-7864104	9361231-5197536-4	163598-4-9815531	0-2-5285139	0-8739333-4	0-4622135-4	0-2-1164266	1177676-421000-9815531	6746665-2-1068579	9361231-4622135-4	1177676-9812970-9815531	5525562-2-8857300	1177676-4-9815531	8849823-4-9815531	9758399-2457631-4	6649784-2-3777020	0-4622135-8920872	0-8487023-7864104	691003-2-4	7257295-2-4	3891267-4-9815531	0-2-2330635
assemblage-826-970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	17
assemblage-832-957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	3	0	0	11
assemblage-824-965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	11
assemblage-522-357	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	21	0	0	0	0	289	27	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	5
assemblage-706-260	0	68	0	0	0	0	0	0	0	0	0	0	50	0	0	9	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	17
assemblage-716-247	0	67	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	20
assemblage-490-502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	157	0	0	0	0	270	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	13	0	3
assemblage-380-183	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	7	0	0	0	44	200	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	12
assemblage-132-399	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	7	297	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	18
assemblage-674-596	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	15
assemblage-410-885	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	7	0	0	0	12	196	0	0	0	53	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	5
assemblage-687-581	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	26	0	0	0	0	0	0	0	0	21	0	0	0	60	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	8
assemblage-423-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	38	0	166	0	0	0	10	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	85	0	76	0	0	0	0	0	0	11
assemblage-254-885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	35	0	124	0	0	0	8	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	104	0	80	0	0	0	0	0	0	17
assemblage-420-124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	53	0	147	0	0	0	7	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	102	0	73	0	0	0	0	0	0	13
assemblage-1005-716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	92	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	65	0	0	0	0	0	0	189	0	0	0	0	0	0	0	21	34
assemblage-436-224	0	36	0	38	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	4	0	0	0	80	0	0	0	0	8	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	9
assemblage-515-704	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	13	0	0	0	26	0	0	0	0	5	0	0	0	0	0	0	208	0	56	0	12	0	0	0	0	9
assemblage-950-266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	218	0	0	11	52	0	0	0	0	45	0	0	0	25	0	0	106	0	0	0	0	0	0	0	0	15
assemblage-473-354	0	46	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	34	0	0	0	0	0	0	134	0	0	0	59	0	0	0	0	17	0	0	0	0	0	0	174	0	0	0	10	0	0	0	0	9
assemblage-272-732	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	28	0	0	0	0	0	0	147	0	0	0	46	0	0	0	0	26	0	0	0	0	0	0	167	0	0	0	9	0	0	0	0	15
assemblage-592-295	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	16	0	0	0	0	0	56	0	0	0	0	0	0	234	0	0	0	20	0	0	0	0	16
assemblage-166-517	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	18	69	0	0	0	0	114	0	0	0	0	0	57	92	0	0	0	0	0	0	0	0	11
