Assemblage_Name	2-1-480275	1-3-9941389	0-3-3188427	0-9542247-6447573	1-3-3412849	1805105-3-4	0-3-6733690	4-2-4285661	1-3-4	4-7546888-3	0-918101-2	0-9262744-2	4-2-3	0-3-2	4-2574952-3	2-1-0	1435303-3-4	4-2-8858528	1-2547075-4	8143335-3-89308
assemblage-702-358	0	9	0	0	0	0	0	0	140	0	0	26	85	73	0	153	0	0	0	14
assemblage-497-574	0	0	0	19	0	19	0	0	87	15	0	0	80	59	0	197	0	0	12	12
assemblage-363-547	5	0	7	29	0	0	0	0	134	0	6	0	77	38	7	182	0	0	1	14
assemblage-388-522	0	0	0	13	0	6	0	0	119	11	0	4	60	62	0	195	0	0	14	16
assemblage-586-500	0	0	0	15	0	12	0	0	164	12	0	21	45	67	0	157	0	0	0	7
assemblage-551-626	0	0	7	20	0	5	0	0	111	0	16	0	53	57	6	189	0	0	17	19
assemblage-577-441	0	26	0	0	12	0	0	0	138	0	0	13	109	87	0	64	0	21	0	22
assemblage-566-327	7	0	0	23	0	0	0	0	139	0	0	0	125	45	8	132	0	0	0	8
assemblage-513-431	6	0	0	24	0	0	0	0	150	0	0	0	114	57	5	130	0	0	0	11
assemblage-545-414	0	0	0	0	0	0	0	0	147	0	0	28	83	62	0	156	0	0	0	24
assemblage-598-466	0	101	0	0	0	36	13	4	60	0	0	0	135	116	0	15	10	0	0	10
assemblage-300-435	0	0	11	9	0	0	0	0	150	0	12	0	46	52	7	182	0	0	18	13
assemblage-404-560	0	46	0	0	0	0	8	0	71	0	0	0	155	170	0	30	0	0	0	20
assemblage-255-510	0	0	0	10	0	11	0	0	159	8	0	17	80	69	0	135	0	0	0	11
assemblage-531-470	0	142	0	0	0	42	0	19	57	0	0	0	116	99	0	3	9	0	0	13
assemblage-462-580	0	145	0	0	0	32	0	29	47	0	0	0	128	93	0	5	8	0	0	13
assemblage-459-519	8	0	0	22	0	0	0	0	120	0	0	0	130	59	11	129	0	0	0	21
assemblage-445-389	0	77	0	0	0	16	17	16	55	0	0	0	138	138	0	28	7	0	0	8
assemblage-446-389	0	0	7	9	0	8	0	0	169	0	14	0	53	73	7	143	0	0	7	10
assemblage-396-594	0	0	0	21	0	0	0	0	125	0	7	0	75	36	8	191	0	0	7	30
assemblage-489-537	0	0	0	0	0	0	0	0	143	0	0	35	88	70	0	144	0	0	0	20
assemblage-452-335	0	0	0	28	0	9	0	0	117	7	0	14	69	59	0	177	0	0	12	8
assemblage-478-474	0	0	0	12	0	0	0	0	148	0	12	0	70	40	12	179	0	0	9	18
assemblage-389-481	0	26	0	0	15	8	0	0	110	0	0	6	137	100	0	79	0	14	0	5
assemblage-634-715	0	50	0	0	0	11	6	0	76	0	0	0	150	152	0	28	0	4	0	23
assemblage-311-422	0	126	0	0	0	26	0	13	60	0	0	0	127	120	0	7	9	0	0	12
assemblage-579-563	0	117	0	0	0	19	10	12	51	0	0	0	125	125	0	19	0	0	0	22
assemblage-553-606	0	54	0	0	0	5	8	0	79	0	0	0	164	142	0	27	0	0	0	21
assemblage-493-366	0	0	0	4	0	20	0	0	180	0	0	20	46	51	0	169	0	0	0	10
assemblage-613-581	0	29	0	0	19	0	0	0	113	0	0	8	125	90	0	99	0	9	0	8
